Tow Date,Make,Style,Color,State
11/04/2017,MITS,LL,GRY,IL
09/29/2017,DODG,VN,GRY,IL
11/04/2017,CHEV,PK,WHI,IL
11/04/2017,NISS,4D,GLD,IL
11/04/2017,HYUN,4D,WHI,IL
11/04/2017,HOND,4D,LBL,IL
09/29/2017,VOLK,4D,BLU,IL
11/04/2017,JEEP,LL,WHI,IL
11/04/2017,FORD,4D,BLK,IL
09/29/2017,MAZD,4D,GRY,TN
09/29/2017,CHEV,4D,SIL,IL
09/29/2017,NISS,4D,BLK,IL
09/30/2017,DODG,4D,SIL,IL
10/01/2017,DODG,LL,BLU,IL
10/02/2017,MAZD,4D,BLK,IL
10/02/2017,TOYT,2D,SIL,IL
10/02/2017,HYUN,4D,RED,IL
10/02/2017,BUIC,4D,TAN,IL
11/02/2017,CHEV,4D,GRN,IL
09/06/2017,GMC,4D,GLD,IL
11/02/2017,CHEV,VN,WHI,IL
09/06/2017,DODG,VN,BLK,IL
11/02/2017,OLDS,4D,SIL,IL
11/03/2017,PLYM,VN,MAR,IA
11/03/2017,PONT,4D,GRY,IL
11/03/2017,CHEV,LL,GRY,IL
11/05/2017,CHEV,4D,RED,IL
11/05/2017,BUIC,4D,WHI,IL
11/05/2017,NISS,4D,BLU,IL
11/05/2017,CADI,4D,BLK,IN
09/29/2017,FORD,4D,GRN,WI
09/29/2017,NISS,4D,BLK,OH
10/02/2017,HOND,4D,SIL,IN
10/02/2017,BUIC,4D,RED,IL
09/02/2017,CHEV,4D,TAN,IL
11/02/2017,LEXS,4D,WHI,IL
09/05/2017,PONT,4D,SIL,IL
11/02/2017,VOLK,4D,RED,IL
11/03/2017,DODG,VN,BLU,WI
10/03/2017,FORD,4D,BLK,IL
10/03/2017,MITS,LL,SIL,IL
09/06/2017,DODG,LL,SIL,WI
09/06/2017,CHEV,4D,GRY,IL
10/06/2017,NISS,4T,BLU,IL
10/06/2017,FORD,4D,GRY,IL
09/29/2017,ACUR,LL,GRY,IL
10/06/2017,FORD,SW,SIL,IL
09/29/2017,MITS,4D,SIL,IL
10/06/2017,CHEV,4D,WHI,IL
10/27/2017,DODG,VN,MAR,IL
10/27/2017,HOND,2D,RED,IL
10/27/2017,HOND,4D,DGR,IL
10/27/2017,FORD,LL,RED,IL
10/27/2017,CHEV,4D,WHI,IL
10/27/2017,BUIC,4D,WHI,IL
10/28/2017,HYUN,LL,BRO,IL
10/29/2017,SATR,2T,BLK,
10/27/2017,DODG,VN,WHI,IL
10/30/2017,PONT,4D,SIL,IL
10/30/2017,BMW,4D,SIL,IL
11/02/2017,CHEV,2D,BLU,IL
09/29/2017,BMW,LL,BLK,IN
11/02/2017,LINC,LL,GRY,IL
11/02/2017,FORD,4D,WHI,IL
11/04/2017,CHRY,VN,GRY,IL
09/29/2017,FORD,LL,TAN,IL
10/03/2017,HOND,2D,BLK,IL
09/29/2017,SATR,4D,BLU,IL
11/04/2017,CHEV,4D,BLK,IL
09/29/2017,CHRY,4D,WHI,IL
09/29/2017,CHEV,4D,BLU,IL
10/03/2017,TOYT,LL,WHI,IL
10/03/2017,PONT,4D,SIL,IL
11/02/2017,DODG,VN,GRY,IL
11/02/2017,CHEV,PK,RED,IL
11/02/2017,FORD,VN,GRY,IL
09/05/2017,CHEV,2D,RED,IL
10/05/2017,LINC,4D,BLK,IL
10/06/2017,NISS,4D,BLK,IL
11/02/2017,LINC,4D,GRY,IL
11/02/2017,CHEV,PK,BLU,
10/05/2017,BUIC,4D,WHI,IL
11/04/2017,CHEV,4D,GRY,IL
11/04/2017,MITS,4D,WHI,IL
10/27/2017,ZCZY,LL,RED,IL
10/27/2017,CHEV,4D,GRN,
11/04/2017,CHEV,4D,TAN,IL
09/06/2017,JEEP,LL,GRY,IL
11/04/2017,DODG,VN,GRY,IL
11/07/2017,BUIC,4D,MAR,IL
10/27/2017,CHEV,VN,TAN,WI
09/08/2017,CHEV,4D,BLU,IL
10/27/2017,BUIC,4D,SIL,IL
10/27/2017,INFI,4D,GRY,IL
10/27/2017,FORD,PK,BLU,IL
10/27/2017,CHEV,LL,RED,IL
10/28/2017,HYUN,4D,TAN,IL
10/28/2017,TOYT,4D,SIL,IL
10/28/2017,BUIC,4D,GRN,IN
10/28/2017,CHEV,PK,WHI,IL
11/02/2017,HOND,4D,TAN,IL
11/02/2017,LINC,4D,CRM,IL
11/02/2017,FORD,LL,GRY,IL
09/05/2017,MERC,4D,WHI,IL
09/05/2017,CHEV,LL,WHI,IL
11/02/2017,CHRY,4D,WHI,IN
11/02/2017,BUIC,4D,GRN,IL
11/01/2017,FORD,LL,GLD,IL
10/27/2017,DODG,2D,RED,IL
10/27/2017,LINC,LL,GRN,IL
11/02/2017,PONT,4D,RED,IL
09/08/2017,ACUR,4D,BLK,IL
10/28/2017,OLDS,4D,TAN,IN
10/28/2017,TOYT,4D,GRY,IL
11/02/2017,FORD,4D,MAR,IL
10/28/2017,CHEV,4D,GRY,IL
11/02/2017,SAA,4D,GRN,IL
10/28/2017,SUBA,4D,BLU,IL
11/02/2017,NISS,4D,SIL,
10/29/2017,CHEV,2D,BLU,IL
11/02/2017,CADI,4D,BLK,WI
11/02/2017,CADI,4D,WHI,
11/02/2017,FORD,LL,WHI,IL
10/29/2017,MITS,4D,BLK,IL
10/29/2017,MITS,4D,WHI,IL
11/04/2017,FOR,LL,BLU,IL
11/04/2017,BUIC,4D,BLK,IL
11/02/2017,OLDS,VN,TAN,IL
09/05/2017,MERC,4D,LBL,IL
11/02/2017,HOND,4D,DBL,IL
09/05/2017,CHEV,4D,GRY,IL
10/03/2017,PONT,4D,RED,IL
10/03/2017,MERC,4D,BLK,IL
09/05/2017,CHEV,LL,WHI,IN
09/06/2017,TOYT,LL,WHI,IL
09/06/2017,BMW,LL,DGR,IN
10/03/2017,FORD,4D,MAR,IN
09/06/2017,HYUN,LL,BLK,IL
11/02/2017,CHEV,4D,GRY,IL
10/04/2017,TOYT,VN,GLD,IL
09/06/2017,LEXS,4D,WHI,IL
11/02/2017,NISS,4D,GRY,IL
11/02/2017,VOLK,4D,GRN,IL
11/02/2017,CHEV,PK,MAR,IL
10/04/2017,TOYT,4D,RED,IN
11/02/2017,MAZD,4D,GRN,IL
10/05/2017,ZCZY,,WHI,IL
11/02/2017,BUIC,4D,BLK,IL
11/03/2017,CHEV,PK,BLU,
11/03/2017,FORD,LL,WHI,IL
11/03/2017,PONT,2D,BLU,IL
11/03/2017,SAA,4D,BLK,IL
11/03/2017,ACUR,2D,SIL,IL
11/07/2017,HOND,4D,BLK,IL
09/05/2017,CHEV,LL,GRN,IL
11/02/2017,MAZD,4D,GRY,OH
11/02/2017,NISS,4D,GLD,IL
11/03/2017,CHEV,4D,WHI,IL
11/04/2017,INFI,4D,SIL,IL
09/29/2017,TOYT,4D,GRY,OH
11/04/2017,CHRY,4D,GRY,IL
11/03/2017,NISS,4D,GRY,IL
11/04/2017,BUIC,,,IL
11/04/2017,HOND,VN,TAN,IL
11/04/2017,CHEV,4D,LBL,IL
09/29/2017,FORD,4D,WHI,IL
09/29/2017,FORD,4D,GLD,IL
09/30/2017,KIA,LL,BLK,IL
09/30/2017,DODG,VN,BLU,IL
09/30/2017,ISU,LL,COM,IL
10/01/2017,HOND,4D,SIL,IL
11/02/2017,JEEP,LL,ONG,IL
09/06/2017,PONT,4D,SIL,IL
09/06/2017,GMC,VN,WHI,AZ
09/06/2017,FORD,2D,RED,IL
11/07/2017,CHEV,LL,GRY,IL
09/06/2017,VOLK,4D,WHI,IL
09/06/2017,CHEV,4D,BLU,IL
09/30/2017,CHEV,PK,GRN,IL
10/01/2017,LEXS,4T,GRY,IL
10/01/2017,FORD,4D,MAR,IL
10/03/2017,SUBA,LL,MAR,IL
11/02/2017,HOND,2D,WHI,IN
09/05/2017,BUIC,4D,WHI,IL
11/02/2017,BUIC,4D,TAN,IL
11/02/2017,SATR,4D,TAN,IL
10/27/2017,FORD,LL,RED,IL
10/27/2017,DODG,VN,BLU,
10/27/2017,KIA,4D,BLK,IL
10/27/2017,CHRY,4D,GRY,IL
10/28/2017,CADI,4D,WHI,IL
10/28/2017,CADI,4D,SIL,IL
10/28/2017,FORD,4D,BLK,MN
10/28/2017,CHEV,LL,BLU,IL
08/31/2017,KIA,LL,WHI,IL
10/28/2017,FORD,PK,RED,IL
10/28/2017,NISS,4D,SIL,IL
10/28/2017,NISS,4D,BLK,IL
10/28/2017,HYUN,LL,BLK,IL
11/02/2017,CHEV,LL,BLK,IL
10/03/2017,CHEV,4D,WHI,IL
10/03/2017,TOYT,4D,GRN,IL
11/02/2017,HOND,4D,GRY,IL
10/03/2017,CHEV,4D,RED,IL
10/03/2017,HYUN,4D,GLD,IL
09/06/2017,LINC,4T,CRM,IL
10/03/2017,NISS,4D,SIL,MD
11/02/2017,NISS,4D,GRY,IL
10/05/2017,NISS,LL,LBL,IL
09/06/2017,JEEP,LL,TAN,IL
11/02/2017,NISS,4D,SIL,IL
09/06/2017,MERZ,4D,GRN,IL
10/05/2017,BUIC,4D,WHI,IL
11/06/2017,CHRY,4D,BLK,IL
09/06/2017,CHEV,4T,BLK,IL
09/06/2017,FORD,PK,BLK,IL
09/06/2017,FORD,LL,WHI,AZ
10/28/2017,BUIC,4D,WHI,IL
10/28/2017,SATR,4D,TAN,IL
10/28/2017,NISS,VN,GRY,IL
10/28/2017,FORD,LL,BLK,IL
11/07/2017,NISS,4D,SIL,IN
11/02/2017,CHEV,2D,BRO,IL
10/04/2017,BUIC,4D,BLK,IL
11/02/2017,OLDS,4D,GRN,IL
10/04/2017,LINC,4D,GLD,IL
11/02/2017,CHEV,4D,WHI,IL
11/02/2017,MAZD,LL,GRY,IL
11/02/2017,CADI,2D,GLD,IL
10/03/2017,CHEV,4D,SIL,IL
11/02/2017,CHEV,2D,SIL,IL
10/04/2017,ACUR,4D,GLD,IL
09/06/2017,TOYT,4D,SIL,IL
11/02/2017,CHEV,VN,RED,IL
11/02/2017,ZCZY,LL,BLK,
08/31/2017,TOYT,4D,GRY,IL
09/06/2017,FORD,LL,BLK,
10/03/2017,AUDI,4D,BLK,IL
11/02/2017,BMW,4D,GRY,FL
11/02/2017,CHEV,4D,BLK,IL
11/02/2017,CHEV,PK,RED,IL
11/02/2017,CHEV,4D,SIL,IL
11/02/2017,CHEV,2D,SIL,IL
11/03/2017,CHEV,4D,BRO,IL
11/03/2017,HYUN,4D,GRY,IL
11/03/2017,FORD,4D,GRY,IL
10/03/2017,HOND,4D,BLK,IL
09/06/2017,VOLK,4D,SIL,IL
11/03/2017,NISS,4D,MAR,IL
11/03/2017,CHEV,VN,MAR,IL
11/03/2017,MERZ,4D,RED,IL
11/03/2017,CADI,4D,BLK,IL
09/05/2017,CADI,4D,WHI,
11/02/2017,NISS,4D,SIL,
11/02/2017,CHRY,4D,GRY,IL
11/02/2017,MITS,2D,RED,IL
10/03/2017,JAG,4D,BLK,IL
11/02/2017,MERC,4D,GRN,IL
10/28/2017,KIA,4D,WHI,IL
10/28/2017,HOND,2D,BLK,IL
09/05/2017,HYUN,4D,TAN,IL
10/28/2017,CHEV,4D,BLK,
10/28/2017,CHEV,4D,BLK,NY
11/03/2017,CHRY,4D,WHI,IL
11/03/2017,HOND,4D,BLU,IL
10/29/2017,VOLV,4D,MAR,IL
10/30/2017,CHEV,4D,SIL,IL
11/04/2017,TOYT,4D,SIL,IL
09/06/2017,HOND,4D,DGR,IL
09/06/2017,SATR,4D,GRY,IL
09/06/2017,CHEV,4D,SIL,IL
09/07/2017,CHEV,4D,GRY,IL
09/08/2017,NISS,4D,TAN,IL
10/30/2017,HOND,LL,GRN,IL
10/30/2017,KIA,4D,BLU,IL
10/30/2017,CHEV,LL,WHI,IL
10/30/2017,MITS,4D,GRY,IL
09/06/2017,BUIC,4D,GRN,IL
11/02/2017,CHRY,VN,SIL,IN
10/03/2017,GMC,LL,MAR,MI
11/02/2017,MITS,4D,SIL,IL
11/03/2017,BUIC,4D,BLK,IL
09/06/2017,MAZD,4D,BLU,IL
11/03/2017,JAGU,4D,BLU,IL
11/03/2017,CHEV,4D,SIL,IL
09/06/2017,CHRY,VN,WHI,IL
09/06/2017,CHEV,4T,SIL,IL
11/03/2017,FORD,LL,SIL,IN
10/04/2017,NISS,4D,GRY,IL
11/03/2017,PONT,4D,BLK,IL
09/07/2017,VOLK,4T,SIL,IL
09/07/2017,FORD,LL,TAN,IL
11/03/2017,FORD,PK,BLK,IL
11/03/2017,BUIC,4D,GLD,IL
11/03/2017,MERZ,4D,BLU,IL
11/04/2017,HYUN,4D,BLU,IL
11/04/2017,CADI,4D,GRY,IL
11/04/2017,AUDI,4D,WHI,IL
11/04/2017,DODG,SW,GRY,IL
09/06/2017,DODG,PK,BLK,IL
09/06/2017,DODG,VN,GRN,IL
10/03/2017,CHEV,2D,RED,IL
11/04/2017,JEEP,LL,MAR,IL
11/04/2017,PONT,4H,ONG,IL
11/04/2017,DODG,VN,SIL,IL
09/07/2017,CHEV,4D,BLK,IA
09/07/2017,MITS,4D,WHI,IL
11/06/2017,PONT,4D,GRY,IL
09/07/2017,CHEV,4D,SIL,IL
09/07/2017,SATR,4D,SIL,IL
11/06/2017,HOND,4D,LBL,IL
10/06/2017,NISS,4T,GRY,IL
09/05/2017,SATR,4D,GRY,IL
09/05/2017,CADI,4D,GRY,IN
10/03/2017,CHEV,2D,TAN,IL
11/03/2017,OLDS,2D,RED,IL
11/04/2017,CHEV,4D,GRN,IL
11/06/2017,KIA,4D,SIL,IL
11/07/2017,PONT,4D,GRY,IL
09/01/2017,MERZ,4D,SIL,IL
09/05/2017,PONT,4T,DGR,IL
11/03/2017,CHEV,4D,GRY,IL
11/03/2017,CHEV,4D,SIL,IL
11/03/2017,PONT,4D,GRY,IL
11/03/2017,MAZD,4D,GRN,IL
11/03/2017,PONT,2D,BLK,IL
10/03/2017,HOND,4D,GRN,IL
11/03/2017,CHEV,VN,GRN,IL
10/03/2017,BUIC,4D,BLK,IL
10/03/2017,DODG,PK,RED,IL
10/04/2017,NISS,PK,WHI,IL
11/04/2017,CHEV,2D,GLD,IL
09/07/2017,FORD,LL,WHI,IL
11/04/2017,AUDI,LL,SIL,IL
10/05/2017,CHRY,VN,MAR,IL
10/05/2017,BUIC,4D,TAN,IL
10/05/2017,NISS,LL,BLK,IL
11/03/2017,MAZD,4D,SIL,IL
11/03/2017,CHEV,2D,WHI,IL
09/06/2017,CHEV,2D,WHI,IL
10/03/2017,MAZD,VN,PLE,IL
11/03/2017,NISS,4D,SIL,IL
10/03/2017,FORD,4D,SIL,IL
11/03/2017,DODG,VN,SIL,IL
10/03/2017,FORD,4D,WHI,IL
11/03/2017,JEEP,LL,PLE,IL
11/03/2017,CHEV,VN,WHI,IL
09/06/2017,CHEV,4D,BLK,IL
10/04/2017,NISS,4D,BLK,IL
10/04/2017,BUIC,4D,SIL,IL
10/04/2017,JEEP,LL,SIL,IL
11/04/2017,NISS,4D,GRY,IL
09/06/2017,FORD,LL,MAR,IL
11/05/2017,LINC,4D,SIL,IL
11/05/2017,CHRY,VN,BLU,IL
11/07/2017,HOND,4D,BLK,IL
10/04/2017,HOND,4D,TAN,IL
11/07/2017,HOND,2D,BLK,IL
10/05/2017,VOLK,4T,BLU,IL
10/05/2017,TOYT,4D,TAN,IL
10/05/2017,BUIC,4D,GLD,IL
09/07/2017,SUBA,LL,WHI,IL
10/04/2017,FORD,VN,BLU,IL
11/03/2017,CHEV,2D,GRY,IL
11/03/2017,SATR,4D,MAR,IL
09/07/2017,LEXS,4D,WHI,IL
10/04/2017,FORD,4D,GRN,IL
09/07/2017,MERC,4D,BLK,IL
09/05/2017,BUIC,4D,GRY,IL
09/07/2017,TOYT,4D,GRN,IL
11/06/2017,LEXS,4D,BLK,IL
11/06/2017,FORD,LL,GLD,IL
11/03/2017,CHEV,4D,WHI,IL
11/03/2017,PONT,4D,BLK,IL
11/03/2017,HOND,2D,BLK,IL
11/03/2017,CHEV,4D,BLK,IL
11/03/2017,PONT,4D,GLD,IL
09/29/2017,FORD,4D,YEL,IL
11/04/2017,HOND,2D,WHI,IL
09/29/2017,CHEV,4D,BRO,IL
09/29/2017,MITS,SW,GRY,IL
09/29/2017,HYUN,4D,MAR,IL
09/30/2017,KIA,4D,RED,IL
09/30/2017,JEEP,LL,GRY,IL
09/30/2017,JEEP,LL,BLK,IL
09/30/2017,CHEV,4D,DBL,IL
09/30/2017,NISS,LL,RED,NY
09/30/2017,PONT,LL,TAN,IN
10/01/2017,HOND,2D,DGR,IL
11/03/2017,AUDI,LL,BLK,WI
10/04/2017,BMW,4D,GRY,IL
11/03/2017,CADI,4D,WHI,IL
11/03/2017,NISS,LL,BLK,IL
10/29/2017,FORD,VN,MAR,IL
11/03/2017,CHRY,VN,SIL,IL
11/07/2017,CHEV,LL,BLK,IL
10/04/2017,DODG,VN,BLU,IA
11/07/2017,CHEV,4D,RED,IL
09/29/2017,FORD,VN,BLK,IL
11/07/2017,MITS,LL,MAR,IL
11/07/2017,PONT,4D,GRY,IL
10/04/2017,FORD,VN,MAR,IL
09/30/2017,FORD,LL,BLU,
10/05/2017,INFI,4T,GRY,IL
09/30/2017,CHEV,4D,WHI,IL
09/30/2017,CHEV,4D,SIL,IL
09/30/2017,HOND,LL,COM,IL
11/03/2017,CHRY,VN,TAN,IL
09/07/2017,BUIC,4D,BLK,IL
11/03/2017,TOYT,4D,GRN,IL
10/04/2017,DODD,PK,RED,IL
10/04/2017,DODG,4D,BLK,IL
11/03/2017,DODG,VN,BLU,IL
08/31/2017,FORD,LL,WHI,MN
11/03/2017,TOYT,VN,WHI,IL
11/03/2017,HOND,4D,BLK,IL
11/03/2017,CHEV,VN,GRY,IL
11/05/2017,CHEV,LL,BLK,IL
10/04/2017,BUIC,4D,MAR,IL
11/05/2017,FORD,LL,WHI,IL
08/31/2017,CHEV,LL,BLK,IL
11/05/2017,MERC,4D,BLK,WI
10/05/2017,LINC,4D,MAR,IL
11/05/2017,HYUN,4D,BLU,IN
11/05/2017,ACUR,4D,SIL,IL
11/03/2017,OLDS,4D,WHI,IL
10/04/2017,OLDS,4D,RED,IL
09/25/2017,PONT,4D,SIL,IL
11/03/2017,FORD,4D,MAR,IL
10/04/2017,PONT,4D,WHI,IL
11/03/2017,JEEP,LL,WHI,IL
11/03/2017,BMW,4D,GRY,KY
10/28/2017,DODG,4D,RED,IL
11/03/2017,PONT,4D,GRY,IL
11/03/2017,DODG,PK,SIL,IL
11/03/2017,FORD,LL,GRY,IL
10/03/2017,HUMM,4D,BLK,IL
11/03/2017,CHEV,4D,BLU,WI
09/07/2017,DODG,4D,TRQ,IL
09/07/2017,MERC,LL,GRY,IL
11/04/2017,CHEV,LL,GRY,IL
11/04/2017,TOYT,4D,WHI,WI
11/03/2017,TOYT,2D,WHI,TX
09/29/2017,TOYT,4D,GRY,IL
10/04/2017,LINC,LL,TAN,IL
10/04/2017,FORD,VN,WHI,IL
11/04/2017,CHEV,VN,,IL
11/04/2017,HYUN,4D,MAR,IL
11/04/2017,HYUN,2D,GRY,IL
11/05/2017,DODG,4D,DGR,IL
11/05/2017,BMW,4D,SIL,
11/05/2017,CHEV,PK,GLD,IL
11/05/2017,MERC,4D,SIL,IN
09/07/2017,FORD,,WHI,IL
09/30/2017,,MC,BLK,IL
09/30/2017,NISS,LL,GRY,IL
09/30/2017,CHEV,4D,DBL,IL
09/30/2017,KIA,SW,SIL,FL
09/30/2017,TOYT,4D,SIL,IL
09/30/2017,SATR,4D,RED,IL
09/30/2017,HYUN,4D,GRY,IL
09/30/2017,GMC,LL,WHI,IN
09/30/2017,KIA,2D,GRY,IL
09/30/2017,JEEP,LL,GRY,IL
10/02/2017,HYUN,4D,WHI,IL
10/05/2017,CHEV,PK,BLK,IL
11/03/2017,FORD,4D,GLD,IL
11/03/2017,CHEV,VN,GLD,IL
11/03/2017,LINC,LL,GLD,IL
11/03/2017,DODG,VN,BLU,IL
11/07/2017,FORD,LL,WHI,IL
08/31/2017,CHEV,4D,SIL,IL
09/30/2017,LEXS,4D,BLK,IN
11/07/2017,CADI,4D,BLU,IL
10/05/2017,PONT,4D,GRY,IL
11/07/2017,LINC,2D,GLD,IL
09/30/2017,VOLK,4D,GRY,IL
09/30/2017,MERC,4D,SIL,IL
11/07/2017,DODG,PK,WHI,IL
09/30/2017,DODG,4D,WHI,IL
09/28/2017,NISS,PK,BLK,IL
09/28/2017,CHEV,LL,WHI,IL
10/05/2017,MERC,4D,RED,IL
10/28/2017,DODG,4D,SIL,IL
10/28/2017,CHEV,4D,WHI,IL
10/28/2017,GMC,LL,TAN,IL
10/28/2017,CHEV,4D,SIL,IL
10/28/2017,SATR,4D,WHI,IL
10/30/2017,INFI,LL,GRY,IL
10/30/2017,CHEV,2D,BLU,IL
11/03/2017,CHEV,PK,BLK,IL
11/03/2017,CHEV,4D,BLK,IL
11/04/2017,INFI,4D,GRY,IL
11/04/2017,JEEP,LL,GRY,IL
10/04/2017,KIA,4D,GRY,IL
11/04/2017,MITS,4D,GRY,IL
10/04/2017,CHEV,4D,BLK,IL
10/28/2017,FORD,4D,TAN,IL
10/28/2017,CHEV,4D,GRN,IL
10/28/2017,TOYT,4D,GRY,IL
11/03/2017,JEEP,LL,WHI,IL
10/04/2017,CHEV,4D,GRY,IL
08/31/2017,TOYT,2D,SIL,IL
11/04/2017,DODG,VN,BLU,IL
11/04/2017,HOND,4D,SIL,IL
11/04/2017,CHRY,4D,WHI,IL
11/04/2017,HOND,LL,GRY,IL
10/29/2017,LEXS,4D,BLK,IL
11/07/2017,PONT,4D,BLU,IL
08/31/2017,PLYM,VN,WHI,IL
09/08/2017,DODG,VN,RED,IL
09/30/2017,TOYT,LL,SIL,IL
10/01/2017,INFI,LL,GRN,IL
10/01/2017,CHRY,4D,SIL,IL
10/01/2017,NISS,4D,BLK,IL
10/01/2017,INFI,4D,BLK,IL
10/02/2017,FORD,4D,DBL,IL
10/02/2017,HOND,2D,GRN,IL
10/02/2017,HYUN,4D,BLK,IL
10/02/2017,ACUR,4D,WHI,IL
11/03/2017,CHEV,2D,WHI,IL
09/07/2017,CADI,4D,WHI,IL
11/03/2017,HYUN,4D,GRN,IL
11/04/2017,LEXS,4D,BLK,IL
11/04/2017,MITS,4D,GRY,IL
11/04/2017,PONT,4D,GRY,IL
11/04/2017,PONT,LL,MAR,WI
11/04/2017,BUIC,4D,GRY,IL
09/07/2017,CHEV,LL,WHI,IL
11/04/2017,KIA,4D,TAN,IL
11/04/2017,HYUN,2D,GRN,IL
11/04/2017,MITS,4D,SIL,IL
11/04/2017,CHEV,4D,BLK,IL
11/04/2017,FORD,LL,RED,IL
09/07/2017,FORD,4D,TAN,IL
09/07/2017,GMC,LL,BLU,IL
09/07/2017,CHEV,LL,GRY,IL
11/04/2017,CHRY,LL,SIL,IL
09/30/2017,HOND,VN,GRY,IL
11/04/2017,GMC,VN,BLU,IL
11/05/2017,VOLK,4D,BLK,IL
11/05/2017,TOYT,LL,GRY,IL
11/05/2017,HOND,2D,BLK,IL
11/06/2017,OLDS,4D,GLD,IL
11/06/2017,HOND,LL,SIL,IL
11/03/2017,OLDS,VN,SIL,IL
10/04/2017,VOLK,4D,RED,IL
10/04/2017,CHRY,VN,RED,IL
11/04/2017,TOYT,4D,RED,IL
11/04/2017,DODG,4D,BLU,IL
10/04/2017,OLDS,4D,RED,IL
11/04/2017,MAZD,4D,WHI,IL
11/04/2017,PONT,VN,GRY,IL
11/04/2017,CHEV,4D,BLK,IL
09/01/2017,BUIC,VN,BLU,IL
10/04/2017,PONT,4D,BLK,IL
09/30/2017,HYUN,4D,GLD,FL
11/05/2017,JAGU,4D,GRY,IL
10/04/2017,CADI,4D,GRY,
11/05/2017,HOND,LL,BLK,IL
11/05/2017,NISS,4D,BLU,IL
11/05/2017,CHEV,VN,GRY,IL
10/01/2017,BUIC,4D,TAN,IL
11/05/2017,BUIC,4D,TAN,
11/05/2017,HYUN,4D,WHI,IL
11/04/2017,NISS,4D,GRY,IL
11/05/2017,HYUN,4D,RED,IL
10/04/2017,CHRY,VN,RED,IL
11/05/2017,CHEV,LL,RED,IL
11/05/2017,BUIC,4D,TAN,IL
10/04/2017,MERZ,4D,BLK,IL
09/30/2017,NISS,4D,SIL,IL
11/05/2017,BMW,2D,BLK,IL
11/05/2017,CHEV,4D,WHI,IL
